Année,Juridiction,"Nombre d'emplois",Secteur
2000,Canada,61600,Foresterie et exploitation forestière
2000,Canada,106945,Fabrication du papier
2000,Canada,22720,Activités de soutien à la foresterie
2000,Canada,158705,Fabrication de produits en bois
2000,Alberta,2920,Foresterie et exploitation forestière
2000,Alberta,4505,Fabrication du papier
2000,Alberta,1895,Activités de soutien à la foresterie
2000,Alberta,11400,Fabrication de produits en bois
2000,Colombie-Britannique,23960,Foresterie et exploitation forestière
2000,Colombie-Britannique,21900,Fabrication du papier
2000,Colombie-Britannique,9800,Activités de soutien à la foresterie
2000,Colombie-Britannique,46110,Fabrication de produits en bois
2000,Manitoba,700,Foresterie et exploitation forestière
2000,Manitoba,2635,Fabrication du papier
2000,Manitoba,605,Activités de soutien à la foresterie
2000,Manitoba,5280,Fabrication de produits en bois
2000,Nouveau-Brunswick,5050,Foresterie et exploitation forestière
2000,Nouveau-Brunswick,3790,Fabrication du papier
2000,Nouveau-Brunswick,1320,Activités de soutien à la foresterie
2000,Nouveau-Brunswick,6470,Fabrication de produits en bois
2000,Terre-Neuve-et-Labrador,1260,Foresterie et exploitation forestière
2000,Terre-Neuve-et-Labrador,1440,Fabrication du papier
2000,Terre-Neuve-et-Labrador,280,Activités de soutien à la foresterie
2000,Terre-Neuve-et-Labrador,650,Fabrication de produits en bois
2000,Territoires du Nord-Ouest,50,Foresterie et exploitation forestière
2000,Territoires du Nord-Ouest,0,Fabrication du papier
2000,Territoires du Nord-Ouest,175,Activités de soutien à la foresterie
2000,Territoires du Nord-Ouest,20,Fabrication de produits en bois
2000,Nouvelle-Écosse,2360,Foresterie et exploitation forestière
2000,Nouvelle-Écosse,2850,Fabrication du papier
2000,Nouvelle-Écosse,655,Activités de soutien à la foresterie
2000,Nouvelle-Écosse,3915,Fabrication de produits en bois
2000,Nunavut,0,Foresterie et exploitation forestière
2000,Nunavut,0,Fabrication du papier
2000,Nunavut,0,Activités de soutien à la foresterie
2000,Nunavut,0,Fabrication de produits en bois
2000,Ontario,9785,Foresterie et exploitation forestière
2000,Ontario,35015,Fabrication du papier
2000,Ontario,2355,Activités de soutien à la foresterie
2000,Ontario,37040,Fabrication de produits en bois
2000,Île-du-Prince-Édouard,120,Foresterie et exploitation forestière
2000,Île-du-Prince-Édouard,65,Fabrication du papier
2000,Île-du-Prince-Édouard,65,Activités de soutien à la foresterie
2000,Île-du-Prince-Édouard,220,Fabrication de produits en bois
2000,Québec,14375,Foresterie et exploitation forestière
2000,Québec,33240,Fabrication du papier
2000,Québec,4230,Activités de soutien à la foresterie
2000,Québec,45355,Fabrication de produits en bois
2000,Saskatchewan,965,Foresterie et exploitation forestière
2000,Saskatchewan,1505,Fabrication du papier
2000,Saskatchewan,1330,Activités de soutien à la foresterie
2000,Saskatchewan,2195,Fabrication de produits en bois
2000,Yukon,55,Foresterie et exploitation forestière
2000,Yukon,0,Fabrication du papier
2000,Yukon,10,Activités de soutien à la foresterie
2000,Yukon,50,Fabrication de produits en bois
2001,Canada,58715,Foresterie et exploitation forestière
2001,Canada,103535,Fabrication du papier
2001,Canada,21240,Activités de soutien à la foresterie
2001,Canada,149975,Fabrication de produits en bois
2001,Alberta,3095,Foresterie et exploitation forestière
2001,Alberta,3515,Fabrication du papier
2001,Alberta,1745,Activités de soutien à la foresterie
2001,Alberta,10700,Fabrication de produits en bois
2001,Colombie-Britannique,23055,Foresterie et exploitation forestière
2001,Colombie-Britannique,16515,Fabrication du papier
2001,Colombie-Britannique,8220,Activités de soutien à la foresterie
2001,Colombie-Britannique,39840,Fabrication de produits en bois
2001,Manitoba,625,Foresterie et exploitation forestière
2001,Manitoba,3035,Fabrication du papier
2001,Manitoba,725,Activités de soutien à la foresterie
2001,Manitoba,4625,Fabrication de produits en bois
2001,Nouveau-Brunswick,4735,Foresterie et exploitation forestière
2001,Nouveau-Brunswick,3665,Fabrication du papier
2001,Nouveau-Brunswick,1295,Activités de soutien à la foresterie
2001,Nouveau-Brunswick,6140,Fabrication de produits en bois
2001,Terre-Neuve-et-Labrador,1205,Foresterie et exploitation forestière
2001,Terre-Neuve-et-Labrador,1445,Fabrication du papier
2001,Terre-Neuve-et-Labrador,280,Activités de soutien à la foresterie
2001,Terre-Neuve-et-Labrador,810,Fabrication de produits en bois
2001,Territoires du Nord-Ouest,30,Foresterie et exploitation forestière
2001,Territoires du Nord-Ouest,0,Fabrication du papier
2001,Territoires du Nord-Ouest,165,Activités de soutien à la foresterie
2001,Territoires du Nord-Ouest,15,Fabrication de produits en bois
2001,Nouvelle-Écosse,2280,Foresterie et exploitation forestière
2001,Nouvelle-Écosse,2860,Fabrication du papier
2001,Nouvelle-Écosse,645,Activités de soutien à la foresterie
2001,Nouvelle-Écosse,3485,Fabrication de produits en bois
2001,Nunavut,0,Foresterie et exploitation forestière
2001,Nunavut,0,Fabrication du papier
2001,Nunavut,0,Activités de soutien à la foresterie
2001,Nunavut,0,Fabrication de produits en bois
2001,Ontario,8970,Foresterie et exploitation forestière
2001,Ontario,36045,Fabrication du papier
2001,Ontario,2430,Activités de soutien à la foresterie
2001,Ontario,35950,Fabrication de produits en bois
2001,Île-du-Prince-Édouard,105,Foresterie et exploitation forestière
2001,Île-du-Prince-Édouard,70,Fabrication du papier
2001,Île-du-Prince-Édouard,50,Activités de soutien à la foresterie
2001,Île-du-Prince-Édouard,290,Fabrication de produits en bois
2001,Québec,13525,Foresterie et exploitation forestière
2001,Québec,35185,Fabrication du papier
2001,Québec,4330,Activités de soutien à la foresterie
2001,Québec,46355,Fabrication de produits en bois
2001,Saskatchewan,1045,Foresterie et exploitation forestière
2001,Saskatchewan,1200,Fabrication du papier
2001,Saskatchewan,1345,Activités de soutien à la foresterie
2001,Saskatchewan,1730,Fabrication de produits en bois
2001,Yukon,45,Foresterie et exploitation forestière
2001,Yukon,0,Fabrication du papier
2001,Yukon,10,Activités de soutien à la foresterie
2001,Yukon,35,Fabrication de produits en bois
2002,Canada,59330,Foresterie et exploitation forestière
2002,Canada,95790,Fabrication du papier
2002,Canada,20935,Activités de soutien à la foresterie
2002,Canada,153770,Fabrication de produits en bois
2002,Alberta,2930,Foresterie et exploitation forestière
2002,Alberta,3405,Fabrication du papier
2002,Alberta,1605,Activités de soutien à la foresterie
2002,Alberta,12075,Fabrication de produits en bois
2002,Colombie-Britannique,23800,Foresterie et exploitation forestière
2002,Colombie-Britannique,14130,Fabrication du papier
2002,Colombie-Britannique,8085,Activités de soutien à la foresterie
2002,Colombie-Britannique,41915,Fabrication de produits en bois
2002,Manitoba,645,Foresterie et exploitation forestière
2002,Manitoba,2380,Fabrication du papier
2002,Manitoba,695,Activités de soutien à la foresterie
2002,Manitoba,4415,Fabrication de produits en bois
2002,Nouveau-Brunswick,4975,Foresterie et exploitation forestière
2002,Nouveau-Brunswick,3925,Fabrication du papier
2002,Nouveau-Brunswick,1235,Activités de soutien à la foresterie
2002,Nouveau-Brunswick,6100,Fabrication de produits en bois
2002,Terre-Neuve-et-Labrador,1175,Foresterie et exploitation forestière
2002,Terre-Neuve-et-Labrador,1160,Fabrication du papier
2002,Terre-Neuve-et-Labrador,295,Activités de soutien à la foresterie
2002,Terre-Neuve-et-Labrador,675,Fabrication de produits en bois
2002,Territoires du Nord-Ouest,15,Foresterie et exploitation forestière
2002,Territoires du Nord-Ouest,0,Fabrication du papier
2002,Territoires du Nord-Ouest,175,Activités de soutien à la foresterie
2002,Territoires du Nord-Ouest,10,Fabrication de produits en bois
2002,Nouvelle-Écosse,2300,Foresterie et exploitation forestière
2002,Nouvelle-Écosse,2165,Fabrication du papier
2002,Nouvelle-Écosse,680,Activités de soutien à la foresterie
2002,Nouvelle-Écosse,3350,Fabrication de produits en bois
2002,Nunavut,0,Foresterie et exploitation forestière
2002,Nunavut,0,Fabrication du papier
2002,Nunavut,0,Activités de soutien à la foresterie
2002,Nunavut,0,Fabrication de produits en bois
2002,Ontario,8595,Foresterie et exploitation forestière
2002,Ontario,33875,Fabrication du papier
2002,Ontario,2210,Activités de soutien à la foresterie
2002,Ontario,35255,Fabrication de produits en bois
2002,Île-du-Prince-Édouard,110,Foresterie et exploitation forestière
2002,Île-du-Prince-Édouard,75,Fabrication du papier
2002,Île-du-Prince-Édouard,55,Activités de soutien à la foresterie
2002,Île-du-Prince-Édouard,305,Fabrication de produits en bois
2002,Québec,13705,Foresterie et exploitation forestière
2002,Québec,33330,Fabrication du papier
2002,Québec,4540,Activités de soutien à la foresterie
2002,Québec,47660,Fabrication de produits en bois
2002,Saskatchewan,1035,Foresterie et exploitation forestière
2002,Saskatchewan,1345,Fabrication du papier
2002,Saskatchewan,1350,Activités de soutien à la foresterie
2002,Saskatchewan,1980,Fabrication de produits en bois
2002,Yukon,45,Foresterie et exploitation forestière
2002,Yukon,0,Fabrication du papier
2002,Yukon,10,Activités de soutien à la foresterie
2002,Yukon,30,Fabrication de produits en bois
2003,Canada,56200,Foresterie et exploitation forestière
2003,Canada,91515,Fabrication du papier
2003,Canada,21680,Activités de soutien à la foresterie
2003,Canada,150480,Fabrication de produits en bois
2003,Alberta,2555,Foresterie et exploitation forestière
2003,Alberta,3500,Fabrication du papier
2003,Alberta,1650,Activités de soutien à la foresterie
2003,Alberta,12385,Fabrication de produits en bois
2003,Colombie-Britannique,22580,Foresterie et exploitation forestière
2003,Colombie-Britannique,12040,Fabrication du papier
2003,Colombie-Britannique,7805,Activités de soutien à la foresterie
2003,Colombie-Britannique,40130,Fabrication de produits en bois
2003,Manitoba,625,Foresterie et exploitation forestière
2003,Manitoba,2205,Fabrication du papier
2003,Manitoba,620,Activités de soutien à la foresterie
2003,Manitoba,4940,Fabrication de produits en bois
2003,Nouveau-Brunswick,3945,Foresterie et exploitation forestière
2003,Nouveau-Brunswick,3965,Fabrication du papier
2003,Nouveau-Brunswick,1340,Activités de soutien à la foresterie
2003,Nouveau-Brunswick,6065,Fabrication de produits en bois
2003,Terre-Neuve-et-Labrador,965,Foresterie et exploitation forestière
2003,Terre-Neuve-et-Labrador,925,Fabrication du papier
2003,Terre-Neuve-et-Labrador,300,Activités de soutien à la foresterie
2003,Terre-Neuve-et-Labrador,580,Fabrication de produits en bois
2003,Territoires du Nord-Ouest,15,Foresterie et exploitation forestière
2003,Territoires du Nord-Ouest,0,Fabrication du papier
2003,Territoires du Nord-Ouest,180,Activités de soutien à la foresterie
2003,Territoires du Nord-Ouest,5,Fabrication de produits en bois
2003,Nouvelle-Écosse,2230,Foresterie et exploitation forestière
2003,Nouvelle-Écosse,1930,Fabrication du papier
2003,Nouvelle-Écosse,620,Activités de soutien à la foresterie
2003,Nouvelle-Écosse,3385,Fabrication de produits en bois
2003,Nunavut,0,Foresterie et exploitation forestière
2003,Nunavut,0,Fabrication du papier
2003,Nunavut,0,Activités de soutien à la foresterie
2003,Nunavut,0,Fabrication de produits en bois
2003,Ontario,8100,Foresterie et exploitation forestière
2003,Ontario,34970,Fabrication du papier
2003,Ontario,2685,Activités de soutien à la foresterie
2003,Ontario,36010,Fabrication de produits en bois
2003,Île-du-Prince-Édouard,130,Foresterie et exploitation forestière
2003,Île-du-Prince-Édouard,60,Fabrication du papier
2003,Île-du-Prince-Édouard,35,Activités de soutien à la foresterie
2003,Île-du-Prince-Édouard,345,Fabrication de produits en bois
2003,Québec,14030,Foresterie et exploitation forestière
2003,Québec,30435,Fabrication du papier
2003,Québec,5030,Activités de soutien à la foresterie
2003,Québec,44345,Fabrication de produits en bois
2003,Saskatchewan,985,Foresterie et exploitation forestière
2003,Saskatchewan,1485,Fabrication du papier
2003,Saskatchewan,1405,Activités de soutien à la foresterie
2003,Saskatchewan,2260,Fabrication de produits en bois
2003,Yukon,40,Foresterie et exploitation forestière
2003,Yukon,0,Fabrication du papier
2003,Yukon,10,Activités de soutien à la foresterie
2003,Yukon,30,Fabrication de produits en bois
2004,Canada,56610,Foresterie et exploitation forestière
2004,Canada,90785,Fabrication du papier
2004,Canada,20305,Activités de soutien à la foresterie
2004,Canada,161165,Fabrication de produits en bois
2004,Alberta,2875,Foresterie et exploitation forestière
2004,Alberta,3425,Fabrication du papier
2004,Alberta,1920,Activités de soutien à la foresterie
2004,Alberta,13655,Fabrication de produits en bois
