Year,Jurisdiction,Sector,Number of jobs
2000,Canada,Forestry and logging,61600
2000,Canada,Paper manufacturing,106945
2000,Canada,Support activities for forestry,22720
2000,Canada,Wood product manufacturing,158705
2000,Alberta,Forestry and logging,2920
2000,Alberta,Paper manufacturing,4505
2000,Alberta,Support activities for forestry,1895
2000,Alberta,Wood product manufacturing,11400
2000,British Columbia,Forestry and logging,23960
2000,British Columbia,Paper manufacturing,21900
2000,British Columbia,Support activities for forestry,9800
2000,British Columbia,Wood product manufacturing,46110
2000,Manitoba,Forestry and logging,700
2000,Manitoba,Paper manufacturing,2635
2000,Manitoba,Support activities for forestry,605
2000,Manitoba,Wood product manufacturing,5280
2000,New Brunswick,Forestry and logging,5050
2000,New Brunswick,Paper manufacturing,3790
2000,New Brunswick,Support activities for forestry,1320
2000,New Brunswick,Wood product manufacturing,6470
2000,Newfoundland and Labrador,Forestry and logging,1260
2000,Newfoundland and Labrador,Paper manufacturing,1440
2000,Newfoundland and Labrador,Support activities for forestry,280
2000,Newfoundland and Labrador,Wood product manufacturing,650
2000,Northwest Territories,Forestry and logging,50
2000,Northwest Territories,Paper manufacturing,0
2000,Northwest Territories,Support activities for forestry,175
2000,Northwest Territories,Wood product manufacturing,20
2000,Nova Scotia,Forestry and logging,2360
2000,Nova Scotia,Paper manufacturing,2850
2000,Nova Scotia,Support activities for forestry,655
2000,Nova Scotia,Wood product manufacturing,3915
2000,Nunavut,Forestry and logging,0
2000,Nunavut,Paper manufacturing,0
2000,Nunavut,Support activities for forestry,0
2000,Nunavut,Wood product manufacturing,0
2000,Ontario,Forestry and logging,9785
2000,Ontario,Paper manufacturing,35015
2000,Ontario,Support activities for forestry,2355
2000,Ontario,Wood product manufacturing,37040
2000,Prince Edward Island,Forestry and logging,120
2000,Prince Edward Island,Paper manufacturing,65
2000,Prince Edward Island,Support activities for forestry,65
2000,Prince Edward Island,Wood product manufacturing,220
2000,Quebec,Forestry and logging,14375
2000,Quebec,Paper manufacturing,33240
2000,Quebec,Support activities for forestry,4230
2000,Quebec,Wood product manufacturing,45355
2000,Saskatchewan,Forestry and logging,965
2000,Saskatchewan,Paper manufacturing,1505
2000,Saskatchewan,Support activities for forestry,1330
2000,Saskatchewan,Wood product manufacturing,2195
2000,Yukon,Forestry and logging,55
2000,Yukon,Paper manufacturing,0
2000,Yukon,Support activities for forestry,10
2000,Yukon,Wood product manufacturing,50
2001,Canada,Forestry and logging,58715
2001,Canada,Paper manufacturing,103535
2001,Canada,Support activities for forestry,21240
2001,Canada,Wood product manufacturing,149975
2001,Alberta,Forestry and logging,3095
2001,Alberta,Paper manufacturing,3515
2001,Alberta,Support activities for forestry,1745
2001,Alberta,Wood product manufacturing,10700
2001,British Columbia,Forestry and logging,23055
2001,British Columbia,Paper manufacturing,16515
2001,British Columbia,Support activities for forestry,8220
2001,British Columbia,Wood product manufacturing,39840
2001,Manitoba,Forestry and logging,625
2001,Manitoba,Paper manufacturing,3035
2001,Manitoba,Support activities for forestry,725
2001,Manitoba,Wood product manufacturing,4625
2001,New Brunswick,Forestry and logging,4735
2001,New Brunswick,Paper manufacturing,3665
2001,New Brunswick,Support activities for forestry,1295
